Goalie,Team,Season,GP,xGA,GA,GSAx,WAR,SA,xSV%,SV%,dSV%,TOI,FA,xFSV%,FSV%,dFSV%,GAR
Craig Anderson,COL,10-11,33,77.98,99,-19.02,-2.32,957,91.85,89.66,-2.2,1799.02,1299,94.0,92.38,-1.62,-11.85
Craig Anderson,OTT,10-11,18,50.09,36,15.09,3.86,589,91.5,93.89,2.39,1046.4,794,93.69,95.47,1.77,19.72
Craig Anderson,OTT,11-12,63,166.6,164,5.6,4.22,1916,91.3,91.44,0.14,3474.57,2589,93.57,93.67,0.1,21.06
Craig Anderson,OTT,12-13,24,55.1,40,15.1,4.03,677,91.86,94.09,2.23,1392.65,919,94.0,95.65,1.64,20.07
Craig Anderson,OTT,13-14,53,139.74,149,-8.26,0.97,1678,91.67,91.12,-0.55,2970.07,2282,93.88,93.47,-0.41,4.83
Craig Anderson,OTT,14-15,35,90.65,87,5.65,2.88,1132,91.99,92.31,0.32,2079.08,1524,94.05,94.29,0.24,14.16
Craig Anderson,OTT,15-16,60,159.82,161,3.82,3.84,1914,91.65,91.59,-0.06,3451.8,2597,93.85,93.8,-0.05,18.64
Craig Anderson,OTT,16-17,40,103.94,91,14.94,4.88,1246,91.66,92.7,1.04,2393.63,1738,94.02,94.76,0.74,24.66
Craig Anderson,OTT,17-18,58,156.54,180,-18.46,-0.69,1767,91.14,89.81,-1.33,3220.42,2445,93.6,92.64,-0.96,-3.71
Craig Anderson,OTT,18-19,50,145.98,162,-14.02,-0.03,1672,91.27,90.31,-0.96,2761.8,2278,93.59,92.89,-0.7,-0.17
Craig Anderson,OTT,19-20,34,93.2,99,-2.8,1.07,1012,90.79,90.22,-0.57,1831.58,1411,93.4,92.98,-0.41,5.78
Craig Anderson,WSH,20-21,4,5.79,6,0.79,0.25,71,91.84,91.55,-0.29,165.98,113,94.87,94.69,-0.18,1.34
Cristobal Huet,MTL,07-08,38,97.24,90,11.24,4.02,1112,91.26,91.91,0.65,2168.6,1582,93.85,94.31,0.46,20.29
Cristobal Huet,WSH,07-08,12,28.38,19,10.38,2.57,301,90.57,93.69,3.12,702.57,429,93.38,95.57,2.19,12.96
Cristobal Huet,CHI,08-09,41,97.82,99,-0.18,1.63,1073,90.88,90.77,-0.11,2317.13,1437,93.19,93.11,-0.08,8.7
Cristobal Huet,CHI,09-10,48,99.11,113,-13.89,-0.94,1081,90.83,89.55,-1.28,2736.28,1487,93.33,92.4,-0.93,-4.9
Cristopher Nilstorp,DAL,12-13,5,11.2,15,-3.8,-0.56,146,92.33,89.73,-2.6,290.48,198,94.34,92.42,-1.92,-2.8
Cristopher Nilstorp,DAL,13-14,1,1.78,3,-1.22,-0.21,17,89.54,82.35,-7.18,39.42,20,91.11,85.0,-6.11,-1.06
Curtis Joseph,CGY,07-08,9,16.94,17,-0.06,0.3,181,90.64,90.61,-0.03,396.4,259,93.46,93.44,-0.02,1.52
Curtis Joseph,TOR,08-09,21,38.23,50,-11.77,-1.56,383,90.02,86.95,-3.07,839.1,573,93.33,91.27,-2.05,-8.32
Curtis Mcelhinney,CGY,07-08,5,4.49,5,-0.51,-0.02,51,91.2,90.2,-1.01,149.4,75,94.02,93.33,-0.68,-0.12
Curtis Mcelhinney,CGY,08-09,13,22.4,27,-4.6,-0.48,241,90.71,88.8,-1.91,453.18,323,93.07,91.64,-1.42,-2.57
Curtis Mcelhinney,ANA,09-10,9,19.91,20,1.91,0.72,248,91.97,91.94,-0.04,434.93,347,94.26,94.24,-0.03,3.72
Curtis Mcelhinney,CGY,09-10,10,19.38,27,-6.62,-0.94,234,91.72,88.46,-3.26,500.93,331,94.15,91.84,-2.3,-4.91
Curtis Mcelhinney,ANA,10-11,21,48.69,57,-7.31,-0.55,516,90.56,88.95,-1.61,986.5,764,93.63,92.54,-1.09,-2.82
Curtis Mcelhinney,OTT,10-11,7,18.16,17,1.16,0.55,205,91.14,91.71,0.57,396.45,278,93.47,93.88,0.42,2.81
Curtis Mcelhinney,PHX,11-12,2,2.55,1,1.55,0.36,35,92.71,97.14,4.43,70.58,49,94.79,97.96,3.17,1.79
Curtis Mcelhinney,CBJ,13-14,28,50.05,64,-11.95,-1.48,703,92.88,90.9,-1.98,1411.78,938,94.66,93.18,-1.49,-7.4
Curtis Mcelhinney,CBJ,14-15,32,78.64,82,-3.36,0.77,948,91.7,91.35,-0.35,1699.95,1272,93.82,93.55,-0.26,3.78
Curtis Mcelhinney,CBJ,15-16,18,41.1,46,-3.9,-0.04,416,90.12,88.94,-1.18,830.07,589,93.02,92.19,-0.83,-0.18
Curtis Mcelhinney,CBJ,16-17,7,16.7,15,1.7,0.65,198,91.56,92.42,0.86,375.53,260,93.58,94.23,0.65,3.27
Curtis Mcelhinney,TOR,16-17,14,37.91,36,2.91,1.27,418,90.93,91.39,0.46,750.3,596,93.64,93.96,0.32,6.41
Curtis Mcelhinney,TOR,17-18,18,43.37,34,9.37,2.48,509,91.48,93.32,1.84,951.82,722,93.99,95.29,1.3,13.35
Curtis Mcelhinney,CAR,18-19,33,92.36,85,8.36,3.14,968,90.46,91.22,0.76,1956.38,1365,93.23,93.77,0.54,17.1
Curtis Mcelhinney,T.B,19-20,18,50.74,52,1.74,1.19,551,90.79,90.56,-0.23,1067.43,764,93.36,93.19,-0.16,6.46
Curtis Mcelhinney,T.B,20-21,12,23.43,36,-11.57,-1.77,295,92.06,87.8,-4.26,709.32,389,93.98,90.75,-3.23,-9.37
Curtis Sanford,VAN,07-08,16,25.02,32,-5.98,-0.71,312,91.98,89.74,-2.24,674.92,435,94.25,92.64,-1.6,-3.61
